"Olga Ovtcharenko";;
"Maria Helena";;
"Michel Leiris";;
"Sidney Sheldon";;
"Galvano Della Volpe";;
"Antonio Bernat Vistarini";;
"Robert Bismut";;
"Jean Colomés";;
"Benjamin Nicolaas Teensma";;
"Afonso Camões";;
"Gjergj Vlashi";;
"Munhak Segyesa";;
"Tatjana Tarbuk";;
"Tanja Tarbuk";;
"Maria de Fátima Pereira Azóia";;
"Paula Oliveira";;
"Miguel Eduardo";;
"Amanda Hopkinson";;
"Nick Caistor";;
"Miroslava Petrovská";;
"Vibha Maurya";;
"António Mota"; "1957"; ""
"Ana Isabel Marques";;
"Manuel Cruz";;
"Chico .";;
"João Mendonça";;
"Rosa Maria Duarte";;
"Nair Valente";;
"José Correia Pacheco";;
"Pedro Cavalheiro"; "1961"; ""
"Carlos Castilho Pais";;
"Inácio Monteiro"; "1712"; "1812"
"Miguel Corrêa Monteiro"; "1951"; ""
"João Aguiar"; "1943"; "2010"
"Peter Stilwell";;
"José Riço Direitinho"; "1965"; ""
"Violante Florêncio";;
"Joaquim Francisco Coelho";;
"Rodrigo Guedes de Carvalho"; "1963"; ""
"Rita Ferro"; "1955"; ""
"Maria do Céu Novais de Faria";;
"Luiz Gonzaga Ferreira";;
"Helena Ferreira";;
"Elo Mafra";;
"Ildefonso-Manuel Gil";;
"Graciete Berta de Sousa Nobre";;
"Shizuko Takeuchi";;
"Shigeru Ikuta";;
"José António Gonçalves";;
"Ana Maria"; "1892"; "?"
"José da Cruz Santos"; "1936"; ""
"Maria Luisa Cusati";;
"José Manuel Anes";;
"José Augusto Mourão"; "1947"; "2011"
"Francis Ponge";;
"José Fanha";;
"José Emídio";;
"Ana Maria Magalhães"; "1946"; ""
"Martine Joly";;
"Nuno Fonseca";;
"Rui Castro";;
"José Barata Moura";;
"Joaquim Pessoa";;
"Luís Machado";;
"José Miguel Ribeiro"; "1966"; ""
"Cristina Valadas"; "1965"; ""
"Massimo Florio";;
"Luísa Fortes da Cunha"; "1961"; ""
"José Goulão";;
". Zenetto";;
"Joana Quental"; "1969"; ""
"Ana Margarida Ramos";;
"Ana Saldanha"; "1959"; ""
"Daniel Ricardo";;
"Filipe Rodrigues";;
"Henrique Cayatte"; "1957"; ""
"Domingos Lobo"; "1946"; ""
"Martinho Dias";;
"João Soares";;
"Luís Manuel Vasconcelos";;
"Luís Almeida Martins";;
"João Abel Manta";;
"João Mário Mascarenhas";;
"Miguel Eduardo Serrano";;
"José Pedro Costa";;
"Vasco Pereira da Costa"; "1948"; ""
"Carlos Cruz";;
"Ricardo Alves";;
"Acácio de Carvalho";;
"Inácio Ludgero";;
"R. Carlos Rebelo da Silva";;
"Rui Guimarães";;
"Renato Filipe Cardoso";;
"Paulo Sarmento";;
"Nuno Rebocho";;
"Ana Clara Justino";;
"Viriato Dias";;
"António Pedro Pita";;
