id;nome;data_nascimento;local_nascimento;data_morte;local_morte;biografia;foto
10350;Vinha dos Santos;1912;Fão/Esposende;1940;Monção;;
10351;Noémia Seixas;1912;Lisboa;1992;Lisboa;;
10352;Armando Carneiro da Silva;1912;Coimbra;1992;Coimbra;;
10353;António Rodrigo Pinto da Silva;1912;Porto;1992;Lisboa;;
10354;Artur Augusto da Silva;1912;Ilha Brava/Cabo Verde;;;
10355;Pe. Manuel Teixeira;1912;Freixo-de-Espada-à-Cinta;;;
10356;Maria Emília Vasconcelos;1912;Lisboa;;;
10357;Aurélio Fernando Alves;1913;Porto;;;
10358;Caetano Teixeira de Aragão;1913;Rio de Janeiro/Brasil;;;
10359;Silva Bastos;1913;Lisboa;1972;Lisboa;;
1036;;
10360;Edgar Carneiro;1913;Chaves;2011;Vila Nova de Gaia;;
10361;Pe. António de Carvalho;1913;Mancelos/Amarante;1993;Amarante;;
10362;Sarah Pinto Coelho;1913;Ilha do Príncipe/S. Tomé e Príncipe;1990;Miramar/Vila Nova de Gaia;;
10363;Deolinda da Conceição;1914;Macau;1957;Hong Kong;;
10364;Francisco Carreiro da Costa;1913;Lagoa/Ponta Delgada/Açores;1981;Ponta Delgada;;
10365;Joaquim Costa;1913;Moura;1956;Lisboa;;
10366;Edmundo Curvelo;1913;Lisboa;1955;Lisboa;;
10367;Túlio Espanca;1913;Vila Viçosa;1993;Évora;;
10368;Carlos Augusto Gonçalves Estorninho;1913;Macau;;;
10369;A. Garibaldi;1913;Braga;1992;Felgueiras;;
1037;;
10370;Patrícia Joyce;1913;Lisboa;1985;Lisboa;;
10371;Ernesto Leal;1913;Funchal;2005;?;;
10372;Merícia de Lemos;1913;Beira/Moçambique;1996;Paris/França;;
10373;Ilse Losa;1913;Buer;2006;Porto;;
10374;Alsácia Fontes Machado;1913;Lisboa;1991;Caldas da Rainha;;
10375;Costa Mendes;1913;S. Clemente/Loulé;1974;Lisboa;;
10376;Raul Rego;1913;Morais/Macedo de Cavaleiros;2002;Lisboa?;;
10377;Sebastião Martins dos Reis;1913;Proença-a-Nova;;;
10378;Manuel Rocha;1913;Figueira da Foz;1981;Lisboa;;
10379;João dos Santos;1913;Lisboa;1987;Lisboa;;
1038;;
10380;Cón. Luciano Afonso dos Santos;1913;Alvarães/Viana do Castelo;1992;Alvarães;;
10381;Alfredo Guisado;1891;Lisboa;1975;Lisboa;;
10382;Luís Reis Santos;1898;Turcifal/Torres Vedras;1967;perto de Pombal;;
10383;José Coelho da Cunha;1892;Lisboa;;;
10384;Mateus Moreno;1892;Faro;1970;Lisboa;;
10385;Augusto Cunha;1894;Lisboa;1947;Lisboa;;
10386;Florbela Espanca;1894;Vila Viçosa;1930;Matosinhos;;
10387;António Ferro;1895;Lisboa;1956;Lisboa;;
10388;Anita Patrício;1895;Lisboa;1971;Lisboa;;
10389;Aleixo Ribeiro;1899;Lisboa;1977;Lisboa;;
1039;;
10390;Manuel Ferreira Rosa;1900;Funchal;1982;Lisboa;;
10391;Octávio de Marialva;1900;Funchal;1992;Funchal;;
10392;A. Gonçalves Pereira;1901;Nova Goa;1983;Lisboa;;
10393;Sérgio Frusoni;1901;Mindelo/São Vicente/Cabo Verde;1975;Lisboa;;
10394;António de Navarro;1902;Vilar Seco/Nelas;1980;Lisboa;;
10395;Manuel de Paiva Boléo;1904;Idanha-a-Nova;;;
10396;Joaquim Azinhal Abelho;1911;Nossa Senhora da Orada/Borba;1979;Lisboa;;
10397;Manuel Caeiro de Pavia;1931;Pavia/Mora;;;
10398;José Pereira;1931;Bombaim;;;
10399;Luís de Pina;1931;Porto;1991;Porto;;
1040;;
10400;Maria Augusto Ribeiro;1931;Golfeiras/Mirandela;;;
10401;Pe. Agostinho Rodrigues;1931;Outeiro/Bragança;1991;São Paulo/Brasil;;
10402;António Pedro Ribeiro Santos;1931;Lisboa;;;
10403;António Marques da Silva;1931;Lisboa;;;
10404;Fernando Correia da Silva;1931;Lisboa;2014;Lisboa?;;
10405;Maria Margarida Macedo Silva;1931;Monte/Funchal;;;
10406;Manuel Carvalho Simões;1931;Riachos/Torres Novas;;;
10407;Gisela Sinfrónio;1931;Beja;;;
10408;Tarcísio Trindade;1931;Alcobaça;;;
10409;José Falcato Varela;1931;Casa Branca/Sousel;;;
1041;;
10410;Henrique Alves Costa;1910;Porto;1988;Porto;;
10411;Amélia Veiga;1931;Silves;;;
10412;José Gonçalves Serpa;1905;Serpa;1990;Beja;;
10413;Andrade de Gouveia;1905;Guarda;2002;?;;
10414;Viriato de Gouveia;1905;Mortágua;1965;Lisboa;;
10415;Manuel de Oliveira Guerra;1905;Oliveira de Azeméis;1964;Porto;;
10416;Florival da Silva Guerreiro;1905;Vidigueira;1996;Lisboa;;
10417;João Pinto da Costa Leite [Lumbrales];1905;Porto;1975;Madrid;;
10418;Barbosa de Melo;1932;Penafiel;;;
10419;Fernando Melo;1932;São João/Ilha do Pico;;;
1042;;
10420;José de Melo;1932;Aveiro;;;
10421;Lídia Meunier;1932;Horta/Faial;;;
10422;Fernando dos Santos Neves;1932;Gondomar;;;
10423;Rui Nogar;1932;Lourenço Marques (hoje Maputo);1993;Lisboa;;
10424;Maria Helena Pinto Novais Paiva;1932;Porto;;;
10425;Luís Pignatelli;1932;Espinho;1993;Lisboa;;
10426;Maria Laura Bettencourt Pires;1932;Lisboa;;;
10427;José Valentim de Matos Prata;1932;Juncal do Campo/Castelo Branco;1997;Lisboa;;
10428;Maria Teresa Ramos;1932;Silves;;;
10429;Margarida Ribeiro;1932;Funchal;;;
1043;;
10430;Romana Rosa;1932;Santa Maria/Tavira;;;
10431;José Nicolau Rufino;1932;Tavira;;;
10432;Manuel de Seabra;1932;Lisboa;;;
10433;José Jacinto Severino;1932;Baleizão/Beja;;;
10434;José Maria Rodrigues da Silva;1932;Almada;;;
10435;Manuel Augusto Ferreira da Silva;1932;Santo Tirso;;;
10436;Maria Leonor Machado de Sousa;1932;Lisboa;;;
10437;José Manuel Tengarrinha;1932;Portimão;;;
10438;Hélio Nunes Xavier;1932;S. Sebastião/Lagos;;;
10439;Adelino Ribeiro de Abreu;1933;S. Martinho de Candoso/Guimarães;;;
1044;;
10440;Adília Alarcão;1933;Porto;;;
