Açores. Presidente do Governo Regional; 1996-2012 (Carlos César)
Acosta, Cecilio; 1818-1881
Acosta, Domingo; fl. 1735
Acosta, José de, ca 1539-1600; S.J.
Acosta, Leonardo; 1933-
Acosta Nassar, Ricardo; 1957-
Acquarone, F.; 1898-1954
Acquaroni, Giovanni; fl. 1816-ca. 1837
Acquaroni, José Luis; 1910-
Acquaviva, Claudio, 1543-1615; S.J.
Acquaviva d'Aragona, Troiano; 1696-1747
Acquaviva, Marcus Cláudio; 1943-
Acremant, Germaine; 1898-1986
Acron, Helenius; 14--
Acsamitek, Zacharias Dominicus; fl. 1664-1679
Actas das Primeiras Jornadas, Lisboa; 2005
Actes du Colloque de Villeneuve-lès-Avignon; 1996
Acton, Harold; 1904-1994
Actuarius, Johannes; fl. 12--
Açucena, Cristina; 1970-
Acuña, Christoval de, 1597-1675; S.J.
Acuña, Hernando de; 1520-1580
Acuña; José Francisco 17---1828
Adachi, Ken; 1928-
Adalbert, 1811-1873; Príncipe da Prússia
Adalid y Gurrea, Marcial del; 1826-1881
Adam, Adolphe; 1803-1856
Adam, Antoine; 1899-1970
Adam, Augusto; 1888-1965
Adam; ca 1812
Adam, Ch.; 1857-1940
Adam de Buckfield; ca 1220-ca 1294
Adam de la Halle; ca 1245-ca 1300
Adame de Montemayor, Francisco; fl. 15--
Adamek, André-Marcel; 1946-
Adam, Éric; 1969-
Adames, Felix Rodrigues; fl. 18--
Adamesteanu, Gabriela; 1942-
Adam-Even, Paul; 1862-1920
Adam; fl. ca. 1820
Adam, George; 1908-
Adamgy, M. Yiossuf; 1951-
Adami da Bolsena, Andrea; 1663-1742
Adami, Giuseppe; 1878-1949
Adami, Stefano; 19---
Adami, Valerio; 1935-
Adam, Jean; fl. 1823
Adam, Jean-Michel; 1947-
Adam, Jean Nicolas; 1786-ca 1840
Adam, Juliette Lamber; 1836-1936
Adam, Karl; 1876-?
Adam, Louis; 1758-1848
Adam, Lucien; 1833-1918
Adamo, Carlo; fl. 1676
Adamopoulos, Sarah; 1964-
Adamo, Salvatore; 1943-
Adamov, Arthur; 1908-1970
Adam, Paul; 1862-1920
Adam, Paul; 1958-
Adams, Douglas; 1952-2001
Adams, George; 1750-1795
Adams, George Plimpton; 1882-1961
Adams, Gerry; 1949-
Adams, Henry; 1838-1918
Adams, Herbert; 1874-1958
Adams, James Truslow; 1878-1949
Adams, John; 1735-1826
Adams, John; 1857-1934
Adams, Joseph Quincy; 1767-1848
Adams, Neal; 1941-
Adamson, Donald; 1939-
Adamson, John; 1787-1851
Adamson; Joy 1910-1980
Adams, Oscar Sherman; 1874-
